date,title,review,rating,author,version
2026-05-25 22:13:07,錢,租到沒電的，走了三分鐘還車，結果收費60元，完全不合理。,1,碩昂昂昂昂昂,5.46.0
2026-05-15 21:52:37,爛東西,任何方式都無法使用服，連客服頁面都一直迴圈在轉，連跳前頁都不行，花了快30分鐘，浪費我的時間,1,Aqua&kiwi,5.46.0
2026-05-15 21:52:06,垃圾,從來沒有看過那麼慢的滑板車，不知道是在騎烏龜還是在騎蝸牛,1,耶哈……,5.46.0
2026-04-26 07:35:06,這五星評論根本就是洗的,車子爛一直鎖定不能騎，能騎的時候又爆衝沒煞車，什麼狗屁東西,1,Judy33478,5.46.0
2026-04-25 23:48:03,車子有問題,沒煞車。要換車也不行。十多台。每一台都說維修中。明明就有人在騎。爛死。,1,無法使用群組,5.46.0
2026-04-05 00:20:25,好好玩,速度飛快，騎起來很好玩，微風輕吹，很涼快,5,一個被欺騙的台中人,5.45.1
2026-03-29 02:15:43,新手不友善,"沒有提示掃碼後要先按租車，才能加速，我前面2次都以為壞了，測試2,3分鐘後放棄。還車還各被扣60",1,無法登入269,5.45.1
2026-03-22 12:17:30,車子有問題,車子的加速跟煞車常常壞掉 非常危險 另外遇到車輛異常也沒有辦法回報跟停止使用 甚至檢查時間也算進收費 為了生命安全著想不建議任何人使用,1,一般的爆氣玩家,5.43.0
2026-02-27 03:07:02,無心維護,常常沒車可借,1,ErrorWarning,5.43.0
2026-02-25 01:27:57,軟體有夠難用,一直顯示發生錯誤 無法付款也無法登入,3,chuanche peng,5.43.0
2026-01-23 05:59:03,一直沒動力,"使用不愉快15分鐘30元
設計請改進一下",1,找找這裡有沒有,5.42.0
2026-01-19 21:31:27,第一次使用滑板車,路面不平，騎起來坑坑巴巴，但是在台灣能夠騎到滑板車還是蠻幸福的，就當一次新鮮的體驗吧，建議價錢可以再親民一些便宜一點，此外應該更多區域可以使用不僅局限在高雄中央公園，希望拓展到全台灣各區。,3,拉瓦雅比,5.42.0
2026-01-12 05:12:21,超可悲的爛系統,每次都推薦我換一台車 怎麼不推薦我把app刪了 永遠都沒車車資還越來越貴,3,憤怒馬鈴薯,5.42.0
2025-12-13 18:22:14,油門要保養,按壓油門，放手後沒回彈，造成爆沖,4,u9330008,5.41.0
2025-12-13 07:12:40,拜託擴大支付範圍,悠遊卡 一卡通 等等的,2,Sister 9,5.41.0
2025-12-12 23:54:42,詭異計價方式,誰會在校園裡面騎三十分鐘？開始前也不寫清楚收費方式，五分鐘後還車突然冒出60元收費，怎不搶比較快？,1,ThomasHsu1990,5.41.0
2025-12-08 22:54:28,每一台車都在維修超級不方便,兩校加起來可以騎的車不到3台，app顯示有車點進去預約卻說在維修？？？一點都不方便，完全是個擺設花瓶沒啥用,1,歐買尬很氣,5.41.0
2025-11-24 05:17:29,對於oloo整體評價(青交區域),"新的車子把手設計超級矮，重心很高非常危險。而且煞車要兩邊一起按才會出力，特別是右手煞車位置和電門位置衝突，無法靈活操作車輛，除非將右手浮貼在手把上方才可以有很快的反應時間。
還有，工作人員完全不積極幫車輛換電池及調度，毫無離峰、尖峰之分。建議尖峰時給從車輛溢出的地方騎到車輛短缺的地方的使用者調度優惠，學習歐美、馬來西亞等地共享滑板車。
再來是軟體問題，應用程式時常卡死、閃退、更新失敗，並且還有一系列複雜的介面和惡意提示消耗使用者租借時間。還有車輛連線問題、定位問題等過多，不及備載。
說實話問題過多，但又因為早已壟斷清交共享載具市場，客流雖減少但無法影響全局，部分學生不得已還是只能借滑板車來騎。",1,共享載具試車員,5.40.0
2025-11-19 10:52:44,一代最佳,一代比其他好騎太多了，二三代有時候會莫名加速加上爆衝，加上龍頭極不穩定時常往某個方向出一點點力就會偏離軌道，極為不安全，如果一代要收掉的話我以後可能不會使用貴公司的服務了,1,忠實用戶12,5.40.0
2025-11-09 23:59:27,沒錢不要騎,沒注意看 也太貴,1,wd no to dt,5.40.0
2025-10-27 03:27:34,很不錯呦,很棒的程式👏加油,5,潤羽るしあ(*˘︶˘*).｡.:*♡,5.39.0
2025-10-26 04:41:26,租借問題,車子借出來就被鎖 還回停車柱系統也不讓還車 還要扣2600$ 客服都不接電話 超爛超級可憐,1,核桃06,5.39.0
